"Zeitstempel","Bitte geben Sie drei Informatik-Themen an, die Sie besonders interessieren würden und die Ihrer Meinung nach im Fach Informatik unterrichtet werden sollten.","Und welche drei Informatik-Themen fänden Sie überhaupt nicht spannend?","Ich habe/hatte bereits ein Fach ""Informatik"" oder ""Medien und Informatik"" an der Schule.","Ich habe ein gutes Leseverständnis.","Ich habe mich nie besonders fürs Fach Informatik begeistert.","Ich bin gut in Mathematik.","Im Fach Informatik haben mich meine Klassenkameraden immer um Hilfe gebeten.","Ich bin schlecht bei Aufgaben, die sprachliche Fähigkeiten erfordern.","Ich war in Mathematik immer gut.","Ich bin bei Aufgaben, die Informatik-Denken erfordern, nie gut.","Ich kann mich sprachlich gut ausdrücken.","Ich war bisher gut im Fach Informatik.","Ich habe Verständnisschwierigkeiten bei allem, für das man Mathematik braucht.","Das Fach Informatik kann ich nicht ausstehen.","Ich kann mich schlecht schriftlich ausdrücken.","Ich war im Fach Informatik immer gut.","Ich habe ein gutes Leseverständnis..1","Ich glaube, ich würde mich nicht besonders fürs Fach Informatik begeistern.","Ich bin gut in Mathematik..1","Ich denke, ich wäre im Fach Informatik eher besser als meine Klassenkameraden.","Ich bin schlecht bei Aufgaben, die sprachliche Fähigkeiten erfordern..1","Ich war in Mathematik immer gut..1","Ich schätze, Informatik-Aufgaben würden mir ziemlich Probleme bereiten.","Ich kann mich sprachlich gut ausdrücken..1","Ich wäre sicher gut im Fach Informatik.","Ich habe Verständnisschwierigkeiten bei allem, für das man Mathematik braucht..1","Ich kann mich schlecht schriftlich ausdrücken..1","Ich bin gut darin, zum logischen Kern eines Problems vorzudringen.","Ich benutze den Computer, weil mich das sehr interessiert.","Wenn ich eine eigene Geheimschrift entwickeln müsste, hätte ich ein paar gute Ideen.","Im Umgang mit Computern stelle ich mich sehr geschickt an.","Ich erkenne schnell Muster in Zahlen, Texten oder Bildern.","Das Verwenden von Formeln in Excel bereitet mir Schwierigkeiten.","Ich bin bei Aufgaben, die logisches Denken erfordern, relativ gut.","Wenn es um MB/s, Gigabyte und Megapixel geht, blicke ich nie durch.","Am Computer zu spielen oder zu arbeiten macht mir richtig Spass.","Tippfehler oder sonstige Ungenauigkeiten in Texten oder Grafiken fallen mir sofort auf.","Ich fände es spannend, eine neue Sprache mit eigener Grammatik zu erfinden.","Man kann mich schon als Computer-Profi bezeichnen.","Alter","Geschlecht","Muttersprache","Aktuelle Schule / Schulniveau","Aktuelles Schuljahr"
"2021/06/03 10:33:25 AM OEZ","OneNote
Word
Tastatur-Kombinationen","Excel","Ja","3","4","1","1","2","1","3","4","1","3","4","2","2","","","","","","","","","","","","3","3","1","1","2","3","3","4","3","4","1","1","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 10:33:28 AM OEZ","Visual Design, Word, Programmieren","Excel, Grundlegende Basis (Dateien sichern e.t.c.","Ja","4","2","3","1","2","3","2","3","4","2","2","3","3","","","","","","","","","","","","3","3","3","3","2","3","4","1","3","3","2","3","15","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 10:33:54 AM OEZ","","","Ja","3","3","2","2","2","3","3","4","2","3","2","1","2","","","","","","","","","","","","2","4","3","2","3","2","4","3","4","2","3","2","16","männlich","andere","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 10:35:53 AM OEZ","Programmieren, Wirtschaftsinformatik, wie ein Computer aufgebaut ist ","Wie Internet, WLAN finktionieren ","Nein","","","","","","","","","","","","","","3","4","1","2","1","1","3","3","1","4","1","1","1","2","3","3","2","2","4","1","1","1","1","16","weiblich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 10:54:13 AM OEZ","Programiersprachen
Eigenes Projekt mit Lego Mindstorms
Raspberry pi","Scrach
Vereinfachtes programieren
Programm auf ti-82/84","Nein","","","","","","","","","","","","","","3","4","3","2","1","3","3","3","3","1","3","3","3","3","4","4","3","4","1","4","2","2","3","16","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:00:17 AM OEZ","Computer Schutz, Programmieren, Informatik im Alltag","Geogebra, Umgang mit Exel, Umgang Informatik ","Nein","","","","","","","","","","","","","","3","2","3","2","2","3","2","3","2","2","3","2","3","4","3","2","3","3","3","3","3","3","2","16","weiblich","Deutsch","Gymnasium","Sekundarstufe 1. Klasse"
"2021/06/03 11:15:26 AM OEZ","Tastaturschreiben, umgang mit world, power ponit","Programmieren, excel, tabellen","Nein","","","","","","","","","","","","","","4","3","1","2","4","1","3","3","2","2","1","1","1","4","2","2","2","1","4","4","2","2","1","17","weiblich","Deutsch","FMS","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:17:03 AM OEZ","Tastaturschreiben, Word, Power Point","Excel, Programmieren, Funktion des Internets","Ja","3","3","3","2","2","2","2","3","3","2","3","2","3","","","","","","","","","","","","2","2","3","2","2","3","3","3","3","3","3","2","17","weiblich","Deutsch","FMS","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:18:11 AM OEZ","Tastaturschreiben, Words und Power Point","Programmieren, excl und Tabellen","Nein","","","","","","","","","","","","","","3","3","4","2","3","4","2","2","3","1","2","2","3","4","2","3","2","3","2","3","2","2","2","18","weiblich","andere","FMS","FMS/Gymnasium 1. Klasse"
"2021/06/03 11:24:06 AM OEZ","Programmieren 
Hacken 
","Excel 
Word 
PowerPoint ","Nein","","","","","","","","","","","","","","3","1","4","3","1","4","1","3","3","4","2","3","3","4","4","3","1","3","1","4","4","4","3","16","männlich","Deutsch","Gymnasium","FMS/Gymnasium 1. Klasse"
